source,source_type,relation,target,target_type,evidence,source_file
低密度有机质,水质因子,导致,表面浊度,清澈度指标,"Turbidity at the surface was higher at lower wind speeds as compared to the bottom, which could be due to an excessive amount of low-density organic matter (consisting of approximately 50% organic content)",clean_a (4).txt
藻类和浮游动物,水质生物组分,导致,表面浊度,清澈度指标,small floating organisms such as algae and zooplankton may have contributed to the surface turbidity during calm periods with low wind speeds,clean_a (4).txt
风速,环境因子,影响,波切应力,环境因子,风速高于4 m/s时波切应力显著升高,clean_a (4).txt
风向,环境因子,影响,波切应力,环境因子,东风、东南风和东东南风（80–157°）对波切应力总贡献起主要作用,clean_a (4).txt
风速,环境因子,影响,流切应力,环境因子,较高风速（高于4 m/s）导致湖底流切应力增加,clean_a (4).txt
风向,环境因子,影响,流切应力,环境因子,流切应力对风向敏感，盛行（向岸）风向期间更高,clean_a (4).txt
风速,环境因子,导致,沉积物再悬浮,水体过程,波浪和流切应力被用于评估其对太湖沉积物再悬浮的影响,clean_a (4).txt
太湖,水体对象,监测,波切应力,环境因子,波浪和流切应力在太湖湖底被计算以评估沉积物再悬浮,clean_a (4).txt
太湖,水体对象,监测,流切应力,环境因子,波浪和流切应力在太湖湖底被计算以评估沉积物再悬浮,clean_a (4).txt
波致剪切应力,环境因子,影响,悬浮物浓度,水质因子,波致剪切应力与OBS测得的悬浮物浓度呈正相关，临界波致剪切应力为0.13 N/m²，超过该值后沉积物开始活化,clean_a (4).txt
流致剪切应力,环境因子,影响,悬浮物浓度,水质因子,流致剪切应力与OBS测得的悬浮物浓度呈正相关，临界流致剪切应力为0.019 N/m²,clean_a (4).txt
波流共同剪切应力,环境因子,影响,悬浮物浓度,水质因子,总剪切应力与OBS测得的悬浮物浓度呈强正相关，拟合关系为SSC_OBS = −178.25 τ_(cw)² + 354.49 τ_(cw) + 34.213,clean_a (4).txt
太湖,水体对象,相关,风速,环境因子,太湖沉积物动力学直接受风力影响；梅梁湾风速大于4 m/s是沉积物再悬浮主因,clean_a (4).txt
太湖,水体对象,相关,浊度,清澈度指标,太湖表层与底层浊度变化与风速变化一致,clean_a (4).txt
太湖,水体对象,相关,沉积物再悬浮,水质过程,太湖沉积物动力学直接受风力影响；梅梁湾风速大于4 m/s是沉积物再悬浮主因,clean_a (4).txt
风速,环境因子,影响,泥沙再悬浮速率,水质因子,风速为4–6 m/s的向岸风显著促进梅梁湾泥沙再悬浮；风速从4、6、8 m/s增加时，泥沙再悬浮速率分别增至205、390、902 g/m²/d,clean_a (4).txt
风向,环境因子,影响,泥沙再悬浮速率,水质因子,风向在太湖泥沙再悬浮中起最重要作用；东南、东东南和南东南风向在4–6 m/s风速区间内分别贡献200–738、160–730、165–459 g/m²/d的泥沙再悬浮速率,clean_a (4).txt
风速,环境因子,影响,剪切应力,环境因子,风场（风速和风向）被发现是波浪和流剪切应力的控制参数；波浪剪切应力在较大风速和向岸风向下占总剪切应力的92.5%,clean_a (4).txt
风向,环境因子,影响,剪切应力,环境因子,风向是导致更大剪切应力的主要驱动机制；向岸风是剪切应力的主要贡献者,clean_a (4).txt
风速,环境因子,影响,水位,环境因子,风场控制水位变化，向岸风主要导致太湖水位升高,clean_a (4).txt
风向,环境因子,影响,磷分布,水质因子,不同盛行风向引起的湖流差异影响太湖悬浮泥沙和磷的分布,clean_a (4).txt
风速,环境因子,影响,磷释放,水质因子,磷释放和泥沙再悬浮是太湖磷浓度变化的主因；内部营养盐释放源于泥沙再悬浮，而后者由波浪和水流作用于水-沉积物界面引起,clean_a (4).txt
风速,环境因子,影响,总氮释放,水质因子,营养盐释放速率高度依赖于沉积物性质和风强度；底泥中总氮平均含量为1.73 g/kg,clean_a (4).txt
风速,环境因子,影响,总磷释放,水质因子,营养盐释放速率高度依赖于沉积物性质和风强度；底泥中总磷平均含量为0.32 g/kg,clean_a (4).txt
风速,环境因子,影响,有机质释放,水质因子,营养盐释放速率高度依赖于沉积物性质和风强度；底泥中有机质平均含量为0.94%,clean_a (4).txt
风速,环境因子,影响,悬浮物浓度,水质因子,当波浪剪切应力低于临界值时，悬浮物浓度处于相对稳定状态；当波浪剪切应力超过0.13 N/m²时，沉积物被激活并达到最大再悬浮潜力,clean_a (4).txt
太湖,水体对象,相关,梅梁湾,水体对象,梅梁湾是大型浅水太湖的一部分,clean_a (4).txt
梅梁湾,水体对象,相关,泥沙再悬浮,水质因子,梅梁湾泥沙再悬浮率在向岸风（风速4–6 m/s）下显著升高,clean_a (4).txt
波切应力,环境因子,影响,悬浮物浓度,水质因子,"a second order polynomial correlation was found between wave shear stress, current shear stress, and total shear stress with SSC",clean_a (4).txt
流切应力,环境因子,影响,悬浮物浓度,水质因子,"a second order polynomial correlation was found between wave shear stress, current shear stress, and total shear stress with SSC",clean_a (4).txt
总切应力,环境因子,影响,悬浮物浓度,水质因子,"a second order polynomial correlation was found between wave shear stress, current shear stress, and total shear stress with SSC",clean_a (4).txt
梅梁湾,水体对象,监测,光学和声学技术,监测方法,high frequency optical and acoustic techniques have been used to obtain field data from Meiliang Bay,clean_a (4).txt
波切应力,环境因子,导致,沉积物再悬浮,水质因子,critical wave shear stress and total shear stress for sediment resuspension were 0.13 N/m2,clean_a (4).txt
流切应力,环境因子,导致,沉积物再悬浮,水质因子,critical current shear stress for sediment resuspension was 0.019 N/m2,clean_a (4).txt
总切应力,环境因子,导致,沉积物再悬浮,水质因子,critical wave shear stress and total shear stress for sediment resuspension were 0.13 N/m2,clean_a (4).txt
沉积物再悬浮,水质因子,影响,悬浮物浓度,水质因子,sediment resuspension rate ranged from 120 g/m2/d to 738 g/m2/d during 4–6 m/s onshore winds,clean_a (4).txt
